👐	open_hands	open_hands	open_hands open hands
🤲	palms_up_together	palms_up_together	palms_up_together palms up together
🤝	handshake	handshake	handshake handshake deal
🙏	pray	pray	pray folded hands please hope wish
✍️	writing_hand	writing_hand	writing_hand writing hand
💅	nail_care	nail_care	nail_care nail polish beauty manicure
🤳	selfie	selfie	selfie selfie
💪	muscle	muscle	muscle flexed biceps flex bicep strong workout
🦾	mechanical_arm	mechanical_arm	mechanical_arm mechanical arm
🦿	mechanical_leg	mechanical_leg	mechanical_leg mechanical leg
🦵	leg	leg	leg leg
🦶	foot	foot	foot foot
👂	ear	ear	ear ear hear sound listen
🦻	ear_with_hearing_aid	ear_with_hearing_aid	ear_with_hearing_aid ear with hearing aid
👃	nose	nose	nose nose smell
🧠	brain	brain	brain brain
🫀	anatomical_heart	anatomical_heart	anatomical_heart anatomical heart
🫁	lungs	lungs	lungs lungs
🦷	tooth	tooth	tooth tooth
🦴	bone	bone	bone bone
👀	eyes	eyes	eyes eyes look see watch
👁️	eye	eye	eye eye
👅	tongue	tongue	tongue tongue taste
👄	lips	lips	lips mouth kiss
🫦	biting_lip	biting_lip	biting_lip biting lip
👶	baby	baby	baby baby child newborn
🧒	child	child	child child
👦	boy	boy	boy boy child
👧	girl	girl	girl girl child
🧑	adult	adult	adult person
👱	blond_haired_person	blond_haired_person	blond_haired_person person: blond hair
👨	man	man	man man mustache father dad
🧔	bearded_person	bearded_person	bearded_person person: beard
🧔‍♂️	man_beard	man_beard	man_beard man: beard
🧔‍♀️	woman_beard	woman_beard	woman_beard woman: beard
👨‍🦰	red_haired_man	red_haired_man	red_haired_man man: red hair
👨‍🦱	curly_haired_man	curly_haired_man	curly_haired_man man: curly hair
👨‍🦳	white_haired_man	white_haired_man	white_haired_man man: white hair
👨‍🦲	bald_man	bald_man	bald_man man: bald
👩	woman	woman	woman woman girls
👩‍🦰	red_haired_woman	red_haired_woman	red_haired_woman woman: red hair
🧑‍🦰	person_red_hair	person_red_hair	person_red_hair person: red hair
👩‍🦱	curly_haired_woman	curly_haired_woman	curly_haired_woman woman: curly hair
🧑‍🦱	person_curly_hair	person_curly_hair	person_curly_hair person: curly hair
👩‍🦳	white_haired_woman	white_haired_woman	white_haired_woman woman: white hair
🧑‍🦳	person_white_hair	person_white_hair	person_white_hair person: white hair
👩‍🦲	bald_woman	bald_woman	bald_woman woman: bald
🧑‍🦲	person_bald	person_bald	person_bald person: bald
👱‍♀️	blond_haired_woman	blond_haired_woman,blonde_woman	blond_haired_woman blonde_woman woman: blond hair
👱‍♂️	blond_haired_man	blond_haired_man	blond_haired_man man: blond hair
🧓	older_adult	older_adult	older_adult older person
👴	older_man	older_man	older_man old man
👵	older_woman	older_woman	older_woman old woman
🙍	frowning_person	frowning_person	frowning_person person frowning
🙍‍♂️	frowning_man	frowning_man	frowning_man man frowning
🙍‍♀️	frowning_woman	frowning_woman	frowning_woman woman frowning
🙎	pouting_face	pouting_face	pouting_face person pouting
🙎‍♂️	pouting_man	pouting_man	pouting_man man pouting
🙎‍♀️	pouting_woman	pouting_woman	pouting_woman woman pouting
🙅	no_good	no_good	no_good person gesturing NO stop halt denied
🙅‍♂️	no_good_man	no_good_man,ng_man	no_good_man ng_man man gesturing NO stop halt denied
🙅‍♀️	no_good_woman	no_good_woman,ng_woman	no_good_woman ng_woman woman gesturing NO stop halt denied
🙆	ok_person	ok_person	ok_person person gesturing OK
🙆‍♂️	ok_man	ok_man	ok_man man gesturing OK
🙆‍♀️	ok_woman	ok_woman	ok_woman woman gesturing OK
💁	tipping_hand_person	tipping_hand_person,information_desk_person	tipping_hand_person information_desk_person person tipping hand
💁‍♂️	tipping_hand_man	tipping_hand_man,sassy_man	tipping_hand_man sassy_man man tipping hand information
💁‍♀️	tipping_hand_woman	tipping_hand_woman,sassy_woman	tipping_hand_woman sassy_woman woman tipping hand information
🙋	raising_hand	raising_hand	raising_hand person raising hand
🙋‍♂️	raising_hand_man	raising_hand_man	raising_hand_man man raising hand
🙋‍♀️	raising_hand_woman	raising_hand_woman	raising_hand_woman woman raising hand
🧏	deaf_person	deaf_person	deaf_person deaf person
🧏‍♂️	deaf_man	deaf_man	deaf_man deaf man
🧏‍♀️	deaf_woman	deaf_woman	deaf_woman deaf woman
🙇	bow	bow	bow person bowing respect thanks
🙇‍♂️	bowing_man	bowing_man	bowing_man man bowing respect thanks
🙇‍♀️	bowing_woman	bowing_woman	bowing_woman woman bowing respect thanks
🤦	facepalm	facepalm	facepalm person facepalming
🤦‍♂️	man_facepalming	man_facepalming	man_facepalming man facepalming
🤦‍♀️	woman_facepalming	woman_facepalming	woman_facepalming woman facepalming
🤷	shrug	shrug	shrug person shrugging
